# source time function
# time function type  : 1
# amplification factor:  1.00000E+10
# DT                  :  3.00000E-03
# t0                  :  4.00000E-01
# time shift          :  0.00000E+00
# format
#time  #used_STF  #initial_source_function_value
   7.10000023E-02   667498496.       6.6749849599999994E-002
   7.40000010E-02   167066048.       1.6706604800000000E-002
   7.69999996E-02  -314801760.      -3.1480175999999999E-002
   7.99999982E-02  -775819072.      -7.7581907199999994E-002
   8.29999968E-02  -1.21395507E+09 -0.12139550720000000     
   8.60000029E-02  -1.62744269E+09 -0.16274426880000001     
   8.90000015E-02  -2.01478349E+09 -0.20147834880000001     
   9.20000002E-02  -2.37475021E+09 -0.23747502079999999     
   9.49999988E-02  -2.70638643E+09 -0.27063864319999997     
   9.79999974E-02  -3.00900173E+09 -0.30090017279999998     
  0.101000004      -3.28216576E+09 -0.32821657599999998     
  0.104000002      -3.52569933E+09 -0.35256993279999999     
  0.107000001      -3.73966310E+09 -0.37396631040000000     
  0.109999999      -3.92434355E+09 -0.39243435519999997     
  0.112999998      -4.08023962E+09 -0.40802396159999998     
  0.115999997      -4.20804378E+09 -0.42080437760000000     
  0.119000003      -4.30862694E+09 -0.43086269440000002     
  0.122000001      -4.38301747E+09 -0.43830174719999998     
  0.125000000      -4.43238502E+09 -0.44323850240000001     
  0.128000006      -4.45801626E+09 -0.44580162559999997     
  0.130999997      -4.46130176E+09 -0.44613017599999999     
  0.134000003      -4.44370944E+09 -0.44437094399999999     
  0.136999995      -4.40677171E+09 -0.44067717120000000     
  0.140000001      -4.35206349E+09 -0.43520634879999998     
  0.143000007      -4.28118656E+09 -0.42811865599999999     
  0.145999998      -4.19575040E+09 -0.41957504000000001     
  0.149000004      -4.09735987E+09 -0.40973598719999998     
  0.151999995      -3.98759834E+09 -0.39875983360000000     
  0.155000001      -3.86801664E+09 -0.38680166399999999     
  0.158000007      -3.74011878E+09 -0.37401187840000000     
  0.160999998      -3.60535475E+09 -0.36053547520000001     
  0.164000005      -3.46510925E+09 -0.34651092480000001     
  0.166999996      -3.32069504E+09 -0.33206950400000002     
  0.170000002      -3.17334758E+09 -0.31733475840000003     
  0.172999993      -3.02421965E+09 -0.30242196480000000     
  0.175999999      -2.87437619E+09 -0.28743761919999999     
  0.179000005      -2.72479590E+09 -0.27247959040000003     
  0.181999996      -2.57636659E+09 -0.25763665920000001     
  0.185000002      -2.42988723E+09 -0.24298872320000001     
  0.187999994      -2.28606771E+09 -0.22860677120000000     
  0.191000000      -2.14553088E+09 -0.21455308800000000     
  0.194000006      -2.00881600E+09 -0.20088159999999999     
  0.196999997      -1.87638054E+09 -0.18763805440000000     
  0.200000003      -1.74860493E+09 -0.17486049279999999     
  0.202999994      -1.62579597E+09 -0.16257959680000000     
  0.206000000      -1.50819238E+09 -0.15081923840000000     
  0.209000006      -1.39596851E+09 -0.13959685120000001     
  0.211999997      -1.28924032E+09 -0.12892403199999999     
  0.215000004      -1.18806963E+09 -0.11880696320000000     
  0.217999995      -1.09247002E+09 -0.10924700160000000     
  0.221000001      -1.00241139E+09 -0.10024113920000000     
  0.224000007      -917825280.      -9.1782528000000002E-002
  0.226999998      -838609472.      -8.3860947199999994E-002
  0.230000004      -764632960.      -7.6463296000000000E-002
  0.232999995      -695740224.      -6.9574022400000005E-002
  0.236000001      -631755392.      -6.3175539200000005E-002
  0.238999993      -572486400.      -5.7248640000000003E-002
  0.241999999      -517728320.      -5.1772831999999998E-002
  0.245000005      -467267104.      -4.6726710400000003E-002
  0.247999996      -420882240.      -4.2088224000000000E-002
  0.250999987      -378349824.      -3.7834982400000002E-002
  0.254000008      -339444736.      -3.3944473599999997E-002
  0.256999999      -303942944.      -3.0394294400000001E-002
  0.259999990      -271623424.      -2.7162342400000001E-002
  0.263000011      -242269568.      -2.4226956800000001E-002
  0.266000003      -215670768.      -2.1567076800000001E-002
  0.268999994      -191623376.      -1.9162337599999999E-002
  0.272000015      -169931728.      -1.6993172800000001E-002
  0.275000006      -150408640.      -1.5040863999999999E-002
  0.277999997      -132876168.      -1.3287616800000001E-002
  0.280999988      -117165776.      -1.1716577600000000E-002
  0.284000009      -103118616.      -1.0311861600000000E-002
  0.287000000      -90585600.0      -9.0585600000000002E-003
  0.289999992      -79427352.0      -7.9427352000000003E-003
  0.293000013      -69514064.0      -6.9514064000000004E-003
  0.296000004      -60725308.0      -6.0725307999999999E-003
  0.298999995      -52949752.0      -5.2949751999999996E-003
  0.301999986      -46084824.0      -4.6084823999999998E-003
  0.305000007      -40036324.0      -4.0036324000000002E-003
  0.307999998      -34718028.0      -3.4718027999999998E-003
  0.310999990      -30051274.0      -3.0051273999999999E-003
  0.314000010      -25964496.0      -2.5964496000000000E-003
  0.317000002      -22392792.0      -2.2392791999999999E-003
  0.319999993      -19277470.0      -1.9277470000000001E-003
  0.323000014      -16565602.0      -1.6565601999999999E-003
  0.326000005      -14209599.0      -1.4209598999999999E-003
  0.328999996      -12166781.0      -1.2166780999999999E-003
  0.331999987      -10398976.0      -1.0398975999999999E-003
  0.335000008      -8872139.00      -8.8721389999999996E-004
  0.338000000      -7555976.00      -7.5559759999999998E-004
  0.340999991      -6423607.50      -6.4236074999999995E-004
  0.344000012      -5451239.50      -5.4512395000000000E-004
  0.347000003      -4617860.50      -4.6178605000000002E-004
  0.349999994      -3904965.50      -3.9049655000000002E-004
  0.352999985      -3296293.50      -3.2962935000000002E-004
  0.356000006      -2777590.50      -2.7775905000000000E-004
  0.358999997      -2336391.50      -2.3363915000000000E-004
  0.361999989      -1961821.25      -1.9618212500000000E-004
  0.365000010      -1644413.12      -1.6444131250000000E-004
  0.368000001      -1375946.00      -1.3759460000000001E-004
  0.370999992      -1149296.25      -1.1492962500000001E-004
  0.374000013      -958305.438      -9.5830543750000005E-005
  0.377000004      -797661.125      -7.9766112500000006E-005
  0.379999995      -662790.875      -6.6279087499999996E-005
  0.382999986      -549767.750      -5.4976774999999997E-005
  0.386000007      -455226.844      -4.5522684374999998E-005
  0.388999999      -376290.438      -3.7629043750000003E-005
  0.391999990      -310503.406      -3.1050340624999997E-005
  0.395000011      -255775.156      -2.5577515624999999E-005
  0.398000002      -210329.453      -2.1032945312499998E-005
  0.400999993      -172660.297      -1.7266029687500000E-005
  0.404000014      -141493.500      -1.4149350000000000E-005
  0.407000005      -115753.172      -1.1575317187500000E-005
  0.409999996      -94532.8359      -9.4532835937499993E-006
  0.412999988      -77070.2188      -7.7070218749999999E-006
  0.416000009      -62725.7031      -6.2725703124999999E-006
  0.419000000      -50963.6172      -5.0963617187499997E-006
  0.421999991      -41336.2891      -4.1336289062500002E-006
  0.425000012      -33470.3359      -3.3470335937499999E-006
  0.428000003      -27054.9531      -2.7054953124999999E-006
  0.430999994      -21831.9355      -2.1831935546875000E-006
  0.433999985      -17587.2207      -1.7587220703124999E-006
  0.437000006      -14143.6787      -1.4143678710937500E-006
  0.439999998      -11355.0332      -1.1355033203125000E-006
  0.442999989      -9100.72559      -9.1007255859375004E-007
  0.446000010      -7281.58203      -7.2815820312500001E-007
  0.449000001      -5816.18701      -5.8161870117187499E-007
  0.451999992      -4637.82520      -4.6378251953124998E-007
  0.455000013      -3691.93823      -3.6919382324218751E-007
  0.458000004      -2933.99316      -2.9339931640625000E-007
  0.460999995      -2327.71069      -2.3277106933593750E-007
  0.463999987      -1843.59143      -1.8435914306640625E-007
  0.467000008      -1457.69507      -1.4576950683593750E-007
  0.469999999      -1150.62964      -1.1506296386718750E-007
  0.472999990      -906.717102      -9.0671710205078124E-008
  0.476000011      -713.306274      -7.1330627441406248E-008
  0.479000002      -560.207153      -5.6020715332031252E-008
  0.481999993      -439.228210      -4.3922821044921878E-008
  0.485000014      -343.796326      -3.4379632568359375E-008
  0.488000005      -268.647064      -2.6864706420898439E-008
  0.490999997      -209.572037      -2.0957203674316407E-008
  0.493999988      -163.213242      -1.6321324157714843E-008
  0.497000009      -126.896248      -1.2689624786376953E-008
  0.500000000      -98.4949265      -9.8494926452636714E-009
  0.503000021      -76.3222351      -7.6322235107421879E-009
  0.505999982      -59.0419769      -5.9041976928710941E-009
  0.509000003      -45.5977783      -4.5597778320312501E-009
  0.512000024      -35.1560364      -3.5156036376953125E-009
  0.514999986      -27.0601311      -2.7060131072998048E-009
  0.518000007      -20.7938118      -2.0793811798095704E-009
  0.521000028      -15.9519176      -1.5951917648315431E-009
  0.523999989      -12.2170582      -1.2217058181762695E-009
  0.527000010      -9.34105110      -9.3410511016845712E-010
  0.529999971      -7.13018036      -7.1301803588867189E-010
  0.532999992      -5.43352079      -5.4335207939147947E-010
  0.536000013      -4.13369656      -4.1336965560913084E-010
  0.538999975      -3.13958740      -3.1395874023437500E-010
  0.541999996      -2.38058496      -2.3805849552154541E-010
  0.545000017      -1.80207229      -1.8020722866058348E-010
  0.547999978      -1.36187875      -1.3618787527084351E-010
  0.550999999      -1.02750242      -1.0275024175643921E-010
  0.554000020     -0.773936868      -7.7393686771392824E-011
  0.556999981     -0.581978619      -5.8197861909866333E-011
  0.560000002     -0.436905444      -4.3690544366836550E-011
  0.563000023     -0.327451646      -3.2745164632797243E-011
  0.565999985     -0.245011553      -2.4501155316829682E-011
  0.569000006     -0.183023036      -1.8302303552627563E-011
  0.572000027     -0.136491373      -1.3649137318134309E-011
  0.574999988     -0.101621374      -1.0162137448787689E-011
  0.578000009      -7.55345523E-02  -7.5534552335739137E-012
  0.580999970      -5.60515001E-02  -5.6051500141620637E-012
  0.583999991      -4.15250473E-02  -4.1525047272443775E-012
  0.587000012      -3.07124536E-02  -3.0712453648447990E-012
  0.589999974      -2.26777885E-02  -2.2677788510918618E-012
  0.592999995      -1.67174060E-02  -1.6717405989766120E-012
  0.596000016      -1.23032378E-02  -1.2303237803280354E-012
  0.598999977      -9.03966743E-03  -9.0396674349904062E-013
  0.601999998      -6.63083652E-03  -6.6308365203440187E-013
  0.605000019      -4.85587120E-03  -4.8558712005615232E-013
  0.607999980      -3.55017046E-03  -3.5501704551279544E-013
  0.611000001      -2.59128259E-03  -2.5912825949490068E-013
  0.614000022      -1.88826979E-03  -1.8882697913795709E-013
  0.616999984      -1.37371698E-03  -1.3737169792875648E-013
  0.620000005      -9.97733558E-04  -9.9773355759680267E-014
  0.623000026      -7.23462959E-04  -7.2346295928582554E-014
  0.625999987      -5.23724128E-04  -5.2372412756085397E-014
  0.629000008      -3.78506782E-04  -3.7850678199902177E-014
  0.632000029      -2.73105048E-04  -2.7310504810884595E-014
  0.634999990      -1.96730180E-04  -1.9673017959576100E-014
  0.638000011      -1.41480850E-04  -1.4148085028864443E-014
  0.640999973      -1.01580401E-04  -1.0158040095120669E-014
  0.643999994      -7.28128434E-05  -7.2812843427527702E-015
  0.647000015      -5.21065158E-05  -5.2106515795458111E-015
  0.649999976      -3.72273571E-05  -3.7227357097435747E-015
  0.652999997      -2.65533181E-05  -2.6553318093647250E-015
  0.656000018      -1.89087095E-05  -1.8908709535025993E-015
  0.658999979      -1.34428619E-05  -1.3442861927615014E-015
  0.662000000      -9.54131974E-06  -9.5413197414018207E-016
  0.665000021      -6.76102081E-06  -6.7610208134283315E-016
  0.667999983      -4.78303264E-06  -4.7830326366238300E-016
  0.671000004      -3.37817232E-06  -3.3781723232095830E-016
  0.674000025      -2.38203347E-06  -2.3820334718038792E-016
  0.676999986      -1.67687892E-06  -1.6768789237175952E-016
  0.680000007      -1.17853756E-06  -1.1785375590989134E-016
  0.683000028      -8.26938617E-07  -8.2693861713778464E-017
  0.685999990      -5.79283721E-07  -5.7928372143578600E-017
  0.689000010      -4.05133136E-07  -4.0513313592782652E-017
  0.691999972      -2.82873827E-07  -2.8287382747294030E-017
  0.694999993      -1.97186196E-07  -1.9718619626019064E-017
  0.698000014      -1.37230003E-07  -1.3723000336085533E-017
  0.700999975      -9.53477937E-08  -9.5347793660494056E-018
  0.703999996      -6.61395774E-08  -6.6139577370449840E-018
  0.707000017      -4.58037910E-08  -4.5803790982290594E-018
  0.709999979      -3.16687476E-08  -3.1668747624280514E-018
  0.713000000      -2.18599894E-08  -2.1859989374206634E-018
  0.716000021      -1.50646375E-08  -1.5064637537420823E-018
  0.718999982      -1.03647135E-08  -1.0364713531885173E-018
  0.722000003      -7.11944148E-09  -7.1194414807962403E-019
  0.725000024      -4.88230212E-09  -4.8823021181476629E-019
  0.727999985      -3.34267125E-09  -3.3426712509054821E-019
  0.731000006      -2.28482566E-09  -2.2848256620022769E-019
  0.734000027      -1.55920410E-09  -1.5592040991663226E-019
  0.736999989      -1.06229103E-09  -1.0622910329161073E-019
  0.740000010      -7.22561511E-10  -7.2256151062433108E-020
  0.742999971      -4.90678498E-10  -4.9067849783313023E-020
  0.745999992      -3.32667421E-10  -3.3266742138771122E-020
  0.749000013      -2.25172117E-10  -2.2517211706318818E-020
  0.751999974      -1.52163407E-10  -1.5216340687462804E-020
  0.754999995      -1.02659041E-10  -1.0265904099027167E-020
  0.758000016      -6.91473823E-11  -6.9147382264489458E-021
  0.760999978      -4.64992350E-11  -4.6499235017982699E-021
  0.763999999      -3.12181808E-11  -3.1218180818193273E-021
  0.767000020      -2.09247966E-11  -2.0924796617638462E-021
  0.769999981      -1.40025404E-11  -1.4002540446589329E-021
  0.773000002      -9.35501416E-12  -9.3550141591625114E-022
  0.776000023      -6.23985108E-12  -6.2398510837502471E-022
  0.778999984      -4.15524126E-12  -4.1552412552436914E-022
  0.782000005      -2.76255342E-12  -2.7625534238656659E-022
  0.785000026      -1.83365476E-12  -1.8336547558117644E-022
  0.787999988      -1.21511416E-12  -1.2151141638022667E-022
  0.791000009      -8.03913305E-13  -8.0391330528270523E-023
  0.794000030      -5.30999561E-13  -5.3099956072791277E-023
  0.796999991      -3.50164369E-13  -3.5016436907182867E-023
  0.800000012      -2.30538136E-13  -2.3053813632406551E-023
  0.802999973      -1.51532798E-13  -1.5153279835349725E-023
  0.805999994      -9.94405838E-14  -9.9440583805482376E-024
  0.809000015      -6.51499322E-14  -6.5149932161352035E-024
  0.811999977      -4.26145223E-14  -4.2614522343829491E-024
  0.814999998      -2.78288186E-14  -2.7828818554577992E-024
  0.818000019      -1.81436829E-14  -1.8143682899412343E-024
  0.820999980      -1.18099949E-14  -1.1809994883351260E-024
  0.824000001      -7.67481222E-15  -7.6748122221077621E-025
  0.827000022      -4.97942972E-15  -4.9794297171342800E-025
  0.829999983      -3.22541295E-15  -3.2254129482013876E-025
  0.833000004      -2.08585950E-15  -2.0858595019534197E-025
  0.836000025      -1.34672468E-15  -1.3467246820148058E-025
  0.838999987      -8.68094051E-16  -8.6809405091086410E-026
  0.842000008      -5.58661798E-16  -5.5866179797143543E-026
  0.845000029      -3.58943023E-16  -3.5894302277233700E-026
  0.847999990      -2.30248304E-16  -2.3024830430764643E-026
  0.851000011      -1.47455797E-16  -1.4745579679721388E-026
  0.853999972      -9.42804845E-17  -9.4280484501797594E-027
  0.856999993      -6.01833585E-17  -6.0183358498532946E-027
  0.860000014      -3.83553393E-17  -3.8355339300124326E-027
  0.862999976      -2.44045015E-17  -2.4404501518054088E-027
  0.865999997      -1.55027593E-17  -1.5502759305756503E-027
  0.869000018      -9.83202510E-18  -9.8320250979410603E-028
  0.871999979      -6.22546841E-18  -6.2254684099634123E-028
  0.875000000      -3.93546603E-18  -3.9354660334052704E-028
  0.878000021      -2.48379342E-18  -2.4837934232864523E-028
  0.880999982      -1.56505643E-18  -1.5650564280305695E-028
  0.884000003      -9.84554826E-19  -9.8455482601853825E-029
  0.887000024      -6.18365381E-19  -6.1836538096133966E-029
  0.889999986      -3.87744738E-19  -3.8774473784456480E-029
  0.893000007      -2.42740468E-19  -2.4274046760250773E-029
  0.896000028      -1.51716931E-19  -1.5171693138580437E-029
  0.898999989      -9.46720102E-20  -9.4672010178824559E-030
  0.902000010      -5.89800198E-20  -5.8980019777168112E-030
  0.904999971      -3.66846168E-20  -3.6684616830242884E-030
  0.907999992      -2.27802762E-20  -2.2780276188723354E-030
  0.911000013      -1.41230960E-20  -1.4123095986209996E-030
  0.913999975      -8.74171822E-21  -8.7417182226749890E-031
  0.916999996      -5.40206455E-21  -5.4020645489909367E-031
  0.920000017      -3.33287427E-21  -3.3328742661734552E-031
  0.922999978      -2.05293041E-21  -2.0529304080568105E-031
  0.925999999      -1.26248380E-21  -1.2624838040638833E-031
  0.929000020      -7.75128415E-22  -7.7512841458292447E-032
  0.931999981      -4.75135997E-22  -4.7513599716795782E-032
  0.935000002      -2.90776073E-22  -2.9077607341773540E-032
  0.938000023      -1.77662533E-22  -1.7766253253021944E-032
  0.940999985      -1.08375125E-22  -1.0837512479800476E-032
  0.944000006      -6.60024458E-23  -6.6002445772467827E-033
  0.947000027      -4.01316514E-23  -4.0131651411548874E-033
  0.949999988      -2.43618833E-23  -2.4361883309517546E-033
  0.953000009      -1.47649313E-23  -1.4764931280457097E-033
  0.955999970      -8.93406038E-24  -8.9340603774896530E-034
  0.958999991      -5.39713427E-24  -5.3971342724629446E-034
  0.962000012      -3.25517635E-24  -3.2551763469027452E-034
  0.964999974      -1.96012075E-24  -1.9601207537413250E-034
  0.967999995      -1.17838770E-24  -1.1783876998370508E-034
  0.971000016      -7.07278932E-25  -7.0727893185912434E-035
  0.973999977      -4.23828735E-25  -4.2382873475015104E-035
  0.976999998      -2.53563832E-25  -2.5356383193612598E-035
  0.980000019      -1.51454256E-25  -1.5145425568404550E-035
  0.982999980      -9.03177266E-26  -9.0317726581667560E-036
  0.986000001      -5.37727098E-26  -5.3772709767366093E-036
  0.989000022      -3.19630538E-26  -3.1963053831793314E-036
  0.991999984      -1.89684609E-26  -1.8968460911110552E-036
  0.995000005      -1.12386317E-26  -1.1238631686491542E-036
  0.998000026      -6.64802128E-27  -6.6480212785330797E-037
   1.00100005      -3.92616881E-27  -3.9261688141907426E-037
   1.00399995      -2.31495874E-27  -2.3149587412827190E-037
   1.00699997      -1.36274691E-27  -1.3627469100440955E-037
   1.00999999      -8.00912364E-28  -8.0091236369976632E-038
   1.01300001      -4.69951029E-28  -4.6995102870303902E-038
   1.01600003      -2.75307497E-28  -2.7530749665252631E-038
   1.01900005      -1.61020611E-28  -1.6102061097021386E-038
   1.02199996      -0.00000000      -0.0000000000000000     
   1.02499998      -0.00000000      -0.0000000000000000     
   1.02800000      -0.00000000      -0.0000000000000000     
   1.03100002      -0.00000000      -0.0000000000000000     
   1.03400004      -0.00000000      -0.0000000000000000     
   1.03699994      -0.00000000      -0.0000000000000000     
