2025-09-05 14:55:05 [WARN] | data already found in 073/traces/obs/*, skipping data preparation
2025-09-05 15:42:35 [INFO] | PREPROCESSING AA.S000266..PRE
2025-09-05 15:42:35 [DEBU] | AA.S000008..PRE misfit=6.469E+00
2025-09-05 15:42:35 [DEBU] | AA.S000081..PRE misfit=6.469E+00
2025-09-05 15:42:35 [DEBU] | AA.S000089..PRE misfit=6.469E+00
2025-09-05 15:42:35 [INFO] | PREPROCESSING AA.S000175..PRE
2025-09-05 15:42:35 [DEBU] | AA.S000336..PRE misfit=6.469E+00
2025-09-05 15:42:35 [INFO] | PREPROCESSING AA.S000108..PRE
2025-09-05 15:42:35 [INFO] | PREPROCESSING AA.S000098..PRE
2025-09-05 15:42:35 [DEBU] | AA.S000195..PRE misfit=6.469E+00
2025-09-05 15:42:35 [DEBU] | AA.S000079..PRE misfit=6.469E+00
2025-09-05 15:42:35 [INFO] | PREPROCESSING AA.S000068..PRE
2025-09-05 15:42:35 [DEBU] | AA.S000266..PRE misfit=6.469E+00
2025-09-05 15:42:35 [INFO] | PREPROCESSING AA.S000083..PRE
2025-09-05 15:42:35 [INFO] | PREPROCESSING AA.S000220..PRE
2025-09-05 15:42:35 [DEBU] | AA.S000175..PRE misfit=6.469E+00
2025-09-05 15:42:35 [DEBU] | AA.S000108..PRE misfit=6.469E+00
2025-09-05 15:42:35 [DEBU] | AA.S000098..PRE misfit=6.469E+00
2025-09-05 15:42:35 [DEBU] | AA.S000083..PRE misfit=6.469E+00
2025-09-05 15:42:35 [DEBU] | AA.S000220..PRE misfit=6.469E+00
2025-09-05 15:42:35 [DEBU] | AA.S000068..PRE misfit=6.469E+00
2025-09-05 15:42:35 [INFO] | PREPROCESSING AA.S000215..PRE
2025-09-05 15:42:35 [DEBU] | AA.S000215..PRE misfit=6.469E+00
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000026..PRE
2025-09-05 15:42:42 [INFO] | PREPROCESSING AA.S000267..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000235..PRE
2025-09-05 15:42:42 [INFO] | PREPROCESSING AA.S000105..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000046..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000331..PRE
2025-09-05 15:42:42 [INFO] | PREPROCESSING AA.S000071..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000056..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000291..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000294..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000116..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000183..PRE
2025-09-05 15:42:42 [INFO] | PREPROCESSING AA.S000279..PRE
2025-09-05 15:42:42 [INFO] | PREPROCESSING AA.S000276..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000239..PRE
2025-09-05 15:42:42 [INFO] | PREPROCESSING AA.S000138..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000044..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000228..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000100..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000033..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000060..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000143..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000051..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000131..PRE
2025-09-05 15:42:42 [DEBU] | AA.S000267..PRE misfit=6.469E+00
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000200..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000170..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000298..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000087..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000097..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000247..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000262..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000146..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000039..PRE
2025-09-05 15:42:42 [DEBU] | AA.S000294..PRE misfit=6.469E+00
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000263..PRE
2025-09-05 15:42:42 [INFO] | PREPROCESSING AA.S000299..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000213..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000094..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000341..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000101..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000153..PRE
2025-09-05 15:42:42 [DEBU] | AA.S000071..PRE misfit=6.469E+00
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000058..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000134..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000123..PRE
2025-09-05 15:42:42 [DEBU] | AA.S000044..PRE misfit=6.469E+00
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000219..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000216..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000088..PRE
2025-09-05 15:42:42 [DEBU] | AA.S000239..PRE misfit=6.469E+00
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000154..PRE
2025-09-05 15:42:42 [DEBU] | AA.S000291..PRE misfit=6.469E+00
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000095..PRE
2025-09-05 15:42:42 [DEBU] | AA.S000143..PRE misfit=6.469E+00
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000283..PRE
2025-09-05 15:42:42 [DEBU] | AA.S000138..PRE misfit=6.469E+00
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000187..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000129..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000284..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000307..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000277..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000334..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000121..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000261..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000329..PRE
2025-09-05 15:42:42 [INFO] | PREPROCESSING AA.S000303..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000208..PRE
2025-09-05 15:42:42 [INFO] | PREPROCESSING AA.S000128..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000124..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000179..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000144..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000230..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000148..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000122..PRE
2025-09-05 15:42:42 [DEBU] | AA.S000116..PRE misfit=6.469E+00
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000242..PRE
